"","Acorn","Group","Tariff","TotalUse"
"1","A","Affluent","Std",20.2382146353192
"2","B","Affluent","Std",11.2665228393721
"3","C","Affluent","Std",12.3190556257457
"4","D","Affluent","Std",13.8906177091175
"5","E","Affluent","Std",10.6146021727759
"6","F","Comfortable","Std",9.41214412776595
"7","G","Comfortable","Std",10.3681431480954
"8","H","Comfortable","Std",11.149709435742
"9","I","Comfortable","Std",9.58076277058581
"10","J","Comfortable","Std",12.6277070232111
"11","K","Adversity","Std",10.159317821646
"12","L","Adversity","Std",10.2972412996879
"13","M","Adversity","Std",10.168874559665
"14","N","Adversity","Std",9.10017036088687
"15","O","Adversity","Std",8.51001959971921
"16","P","Adversity","Std",7.04068229788227
"17","Q","Adversity","Std",7.60630695607534
"18","A","Affluent","ToU",15.7703226466336
"19","B","Affluent","ToU",15.4858609231693
"20","C","Affluent","ToU",10.2188325125422
"21","D","Affluent","ToU",12.7658548569825
"22","E","Affluent","ToU",9.29469075163476
"23","F","Comfortable","ToU",8.56154819390194
"24","G","Comfortable","ToU",8.82546101978749
"25","H","Comfortable","ToU",10.2352362461438
"26","I","Comfortable","ToU",9.5110899802595
"27","J","Comfortable","ToU",10.7163347906857
"28","K","Adversity","ToU",9.65367961585076
"29","L","Adversity","ToU",9.23140488297034
"30","M","Adversity","ToU",10.4400579767066
"31","N","Adversity","ToU",9.00994172870504
"32","O","Adversity","ToU",8.76088509145356
"33","P","Adversity","ToU",3.7259077942487
"34","Q","Adversity","ToU",7.06448006978154
